?class_curie	?lable_str
"ENVO:01000197"	"broadleaf forest biome"
"ENVO:01000196"	"coniferous forest biome"
"ENVO:01000245"	"cropland biome"
"ENVO:01000179"	"desert biome"
"ENVO:01000195"	"flooded grassland biome"
"ENVO:01000174"	"forest biome"
"ENVO:01000177"	"grassland biome"
"ENVO:01000199"	"mediterranean forest biome"
"ENVO:01000224"	"mediterranean grassland biome"
"ENVO:01000198"	"mixed forest biome"
"ENVO:01000185"	"montane desert biome"
"ENVO:01000194"	"montane grassland biome"
"ENVO:01000186"	"polar desert biome"
"ENVO:01000250"	"subpolar coniferous forest biome"
"ENVO:01000201"	"subtropical broadleaf forest biome"
"ENVO:01000209"	"subtropical coniferous forest biome"
"ENVO:01000184"	"subtropical desert biome"
"ENVO:01000225"	"subtropical dry broadleaf forest biome"
"ENVO:01000191"	"subtropical grassland biome"
"ENVO:01000226"	"subtropical moist broadleaf forest biome"
"ENVO:01000202"	"temperate broadleaf forest biome"
"ENVO:01000211"	"temperate coniferous forest biome"
"ENVO:01000182"	"temperate desert biome"
"ENVO:01000193"	"temperate grassland biome"
"ENVO:01000212"	"temperate mixed forest biome"
"ENVO:01000200"	"tropical broadleaf forest biome"
"ENVO:01000210"	"tropical coniferous forest biome"
"ENVO:01000183"	"tropical desert biome"
"ENVO:01000227"	"tropical dry broadleaf forest biome"
"ENVO:01000192"	"tropical grassland biome"
"ENVO:01001798"	"tropical mixed forest biome"
"ENVO:01000228"	"tropical moist broadleaf forest biome"
