SPIRE:Lake_or_pond	Lake_or_pond	ENVO:00000020	lake
SPIRE:River	River	ENVO:00000022	river
SPIRE:Lake_or_pond	Lake_or_pond	ENVO:00000033	pond
SPIRE:Marsh	Marsh	ENVO:00000035	marsh
SPIRE:Bog	Bog	ENVO:00000043	wetland
SPIRE:Bog	Bog	ENVO:00000044	peatland
SPIRE:Heath	Heath	ENVO:00000107	heath
SPIRE:Agricultural	Agricultural	ENVO:00000113	cultivated habitat
SPIRE:Reef	Reef	ENVO:00000130	reef
SPIRE:Ice_cap	Ice_cap	ENVO:00000145	ice cap
SPIRE:Mudflat	Mudflat	ENVO:00000192	mudflat
SPIRE:Pelagic	Pelagic	ENVO:00000208	pelagic zone
SPIRE:Epipelagic_zone	Epipelagic_zone	ENVO:00000209	photic zone
SPIRE:Mesopelagic_zone	Mesopelagic_zone	ENVO:00000213	mesopelagic zone
SPIRE:Oceanic_vent	Oceanic_vent	ENVO:00000218	black smoker
SPIRE:Swamp	Swamp	ENVO:00000233	swamp
SPIRE:Abyssal	Abyssal	ENVO:00000244	abyssal plain
SPIRE:Chaparral	Chaparral	ENVO:00000301	chaparral
SPIRE:Coastal	Coastal	ENVO:00000303	coast
SPIRE:Littoral	Littoral	ENVO:00000303	coast
SPIRE:Intertidal	Intertidal	ENVO:00000316	intertidal zone
SPIRE:Terrestrial	Terrestrial	ENVO:00000446	terrestrial biome
SPIRE:Marine	Marine	ENVO:00000447	marine biome
SPIRE:Freshwater	Freshwater	ENVO:00000873	freshwater biome
SPIRE:Soil	Soil	ENVO:00001998	soil
SPIRE:Dung	Dung	ENVO:00002003	feces
SPIRE:Brackish_water	Brackish_water	ENVO:00002019	brackish water
SPIRE:Estuarine	Estuarine	ENVO:01000020	estuarine biome
SPIRE:Benthic	Benthic	ENVO:01000024	marine benthic biome
SPIRE:Forest	Forest	ENVO:01000174	forest biome
SPIRE:Savannah_or_grassland	Savannah_or_grassland	ENVO:01000177	grassland biome
SPIRE:Savannah_or_grassland	Savannah_or_grassland	ENVO:01000178	savanna biome
SPIRE:Desert_or_dune	Desert_or_dune	ENVO:01000179	desert biome
SPIRE:Tundra	Tundra	ENVO:01000180	tundra biome
SPIRE:Tropical	Tropical	ENVO:01000204	tropical
SPIRE:Temperate	Temperate	ENVO:01000206	temperate
SPIRE:Rainforest	Rainforest	ENVO:01000228	tropical moist broadleaf forest biome
SPIRE:Polar	Polar	ENVO:01000238	polar
SPIRE:Urban	Urban	ENVO:01000249	urban biome
SPIRE:Taiga	Taiga	ENVO:01000250	subpolar coniferous forest biome
