ENVO:00000015	ocean	GOLD:64	Oceanic
ENVO:00000033	pond	GOLD:72	Ponds
ENVO:00000035	marsh	GOLD:293	Marsh
ENVO:00000043	wetland	GOLD:294	Bog
ENVO:00000043	wetland	GOLD:66	Wetlands
ENVO:00000043	wetland	GOLD:75	Wetlands
ENVO:00000044	peatland	GOLD:294	Bog
ENVO:00000051	hot spring	GOLD:20	Thermal springs
ENVO:00000076	mine	GOLD:133	Mine
ENVO:00000077	agricultural feature	GOLD:141	Agricultural land
ENVO:00000077	agricultural feature	GOLD:178	Agricultural land
ENVO:00000077	agricultural feature	GOLD:228	Agricultural land
ENVO:00000077	agricultural feature	GOLD:254	Agricultural land
ENVO:00000097	desert	GOLD:136	Desert
ENVO:00000097	desert	GOLD:173	Desert
ENVO:00000097	desert	GOLD:224	Desert
ENVO:00000097	desert	GOLD:249	Desert
ENVO:00000106	grassland	GOLD:140	Grasslands
ENVO:00000106	grassland	GOLD:175	Grasslands
ENVO:00000106	grassland	GOLD:226	Grasslands
ENVO:00000106	grassland	GOLD:251	Grasslands
ENVO:00000107	heath	GOLD:144	Shrubland
ENVO:00000107	heath	GOLD:181	Shrubland
ENVO:00000107	heath	GOLD:231	Shrubland
ENVO:00000107	heath	GOLD:257	Shrubland
ENVO:00000109	woodland	GOLD:148	Woodland
ENVO:00000109	woodland	GOLD:185	Woodland
ENVO:00000109	woodland	GOLD:234	Woodland
ENVO:00000109	woodland	GOLD:261	Woodland
ENVO:00000133	glacier	GOLD:248	Glacier
ENVO:00000165	asphalt lake	GOLD:24	Asphalt lakes
ENVO:00000206	neritic zone	GOLD:63	Neritic zone
ENVO:00000215	hydrothermal vent	GOLD:62	Hydrothermal vents
ENVO:00000216	fumarole	GOLD:104	Fumaroles
ENVO:00000216	fumarole	GOLD:163	Fumaroles
ENVO:00000218	black smoker	GOLD:203	Black smokers
ENVO:00000231	moor	GOLD:144	Shrubland
ENVO:00000231	moor	GOLD:181	Shrubland
ENVO:00000231	moor	GOLD:231	Shrubland
ENVO:00000231	moor	GOLD:257	Shrubland
ENVO:00000232	fen	GOLD:295	Fen
ENVO:00000233	swamp	GOLD:291	Swamp
ENVO:00000247	volcano	GOLD:26	Volcanic
ENVO:00000247	volcano	GOLD:61	Volcanic
ENVO:00000300	scrubland	GOLD:144	Shrubland
ENVO:00000300	scrubland	GOLD:181	Shrubland
ENVO:00000300	scrubland	GOLD:231	Shrubland
ENVO:00000300	scrubland	GOLD:257	Shrubland
ENVO:00000316	intertidal zone	GOLD:65	Intertidal zone
ENVO:00000488	glacial lake	GOLD:245	Glacial lake
ENVO:00000533	landfill	GOLD:16	Landfill
ENVO:00001996	mine drainage	GOLD:135	Mine drainage
ENVO:00001997	acid mine drainage	GOLD:129	Acid Mine Drainage
ENVO:00001998	soil	GOLD:29	Soil
ENVO:00002001	waste water	GOLD:7	Wastewater
ENVO:00002001	waste water	GOLD:95	Wastewater
ENVO:00002002	food product	GOLD:5	Food production
ENVO:00002005	air	GOLD:12	Air
ENVO:00002007	sediment	GOLD:126	Sediment
ENVO:00002007	sediment	GOLD:156	Sediment
ENVO:00002007	sediment	GOLD:162	Sediment
ENVO:00002007	sediment	GOLD:168	Sediment
ENVO:00002007	sediment	GOLD:202	Sediment
ENVO:00002007	sediment	GOLD:275	Sediment
ENVO:00002011	fresh water	GOLD:23	Freshwater
ENVO:00002040	wood	GOLD:105	Wood
ENVO:00002041	ground water	GOLD:70	Groundwater
ENVO:00002046	activated sludge	GOLD:239	Activated sludge
ENVO:00002046	activated sludge	GOLD:266	Activated sludge
ENVO:00002046	activated sludge	GOLD:276	Activated sludge
ENVO:00002046	activated sludge	GOLD:277	Activated sludge
ENVO:00002063	oil seep	GOLD:60	Oil seeps
ENVO:00002116	contaminated soil	GOLD:146	Contaminated
ENVO:00002116	contaminated soil	GOLD:183	Contaminated
ENVO:00002116	contaminated soil	GOLD:259	Contaminated
ENVO:00002123	bioreactor	GOLD:188	Bioreactor
ENVO:00002123	bioreactor	GOLD:206	Bioreactor
ENVO:00002123	bioreactor	GOLD:208	Bioreactor
ENVO:00002123	bioreactor	GOLD:237	Bioreactor
ENVO:00002123	bioreactor	GOLD:238	Bioreactor
ENVO:00002123	bioreactor	GOLD:240	Bioreactor
ENVO:00002123	bioreactor	GOLD:264	Bioreactor
ENVO:00002123	bioreactor	GOLD:270	Bioreactor
ENVO:00002123	bioreactor	GOLD:278	Bioreactor
ENVO:00002130	hypolimnion	GOLD:123	Hypolimnion
ENVO:00002130	hypolimnion	GOLD:153	Hypolimnion
ENVO:00002130	hypolimnion	GOLD:166	Hypolimnion
ENVO:00002131	epilimnion	GOLD:128	Epilimnion
ENVO:00002131	epilimnion	GOLD:159	Epilimnion
ENVO:00002131	epilimnion	GOLD:170	Epilimnion
ENVO:00002164	fossil	GOLD:58	Fossil
ENVO:00002170	compost	GOLD:15	Composting
ENVO:00002185	oil reservoir	GOLD:25	Oil reservoir
ENVO:00002258	loam	GOLD:100	Loam
ENVO:00002261	forest soil	GOLD:139	Forest soil
ENVO:00002261	forest soil	GOLD:174	Forest soil
ENVO:00002261	forest soil	GOLD:225	Forest soil
ENVO:00002261	forest soil	GOLD:250	Forest soil
ENVO:00002875	oil contaminated soil	GOLD:150	Oil-contaminated
ENVO:00002875	oil contaminated soil	GOLD:187	Oil-contaminated
ENVO:00002875	oil contaminated soil	GOLD:236	Oil-contaminated
ENVO:00002875	oil contaminated soil	GOLD:263	Oil-contaminated
ENVO:00002982	clay	GOLD:108	Clay
ENVO:00002982	clay	GOLD:99	Clay
ENVO:00003064	drinking water	GOLD:67	Drinking water
ENVO:0010005	fermented beverage	GOLD:36	Fermented beverages
ENVO:01000008	microbial mat	GOLD:124	Microbial mats
ENVO:01000008	microbial mat	GOLD:154	Microbial mats
ENVO:01000008	microbial mat	GOLD:160	Microbial mats
ENVO:01000008	microbial mat	GOLD:243	Microbial mats
ENVO:01000011	dairy product	GOLD:37	Dairy products
ENVO:01000016	silt	GOLD:98	Silt
ENVO:01000017	sand	GOLD:96	Sand
ENVO:01000017	sand	GOLD:97	Sand
ENVO:01000140	whale fall	GOLD:215	Whale fall
ENVO:01000250	subpolar coniferous forest biome	GOLD:149	Boreal forest
ENVO:01000250	subpolar coniferous forest biome	GOLD:186	Boreal forest
ENVO:01000250	subpolar coniferous forest biome	GOLD:235	Boreal forest
ENVO:01000250	subpolar coniferous forest biome	GOLD:262	Boreal forest
ENVO:01000254	environmental system	GOLD:3	Environmental
ENVO:01000257	white smoker	GOLD:199	White smokers
ENVO:01000263	cold seep	GOLD:59	Cold seeps
ENVO:01000277	ice	GOLD:68	Ice
GOLD:100	Loam	ENVO:00002258	loam
GOLD:104	Fumaroles	ENVO:00000216	fumarole
GOLD:105	Wood	ENVO:00002040	wood
GOLD:108	Clay	ENVO:00002982	clay
GOLD:12	Air	ENVO:00002005	air
GOLD:123	Hypolimnion	ENVO:00002130	hypolimnion
GOLD:124	Microbial mats	ENVO:01000008	microbial mat
GOLD:126	Sediment	ENVO:00002007	sediment
GOLD:128	Epilimnion	ENVO:00002131	epilimnion
GOLD:129	Acid Mine Drainage	ENVO:00001997	acid mine drainage
GOLD:133	Mine	ENVO:00000076	mine
GOLD:135	Mine drainage	ENVO:00001996	mine drainage
GOLD:136	Desert	ENVO:00000097	desert
GOLD:139	Forest soil	ENVO:00002261	forest soil
GOLD:140	Grasslands	ENVO:00000106	grassland
GOLD:141	Agricultural land	ENVO:00000077	agricultural feature
GOLD:144	Shrubland	ENVO:00000107	heath
GOLD:144	Shrubland	ENVO:00000231	moor
GOLD:144	Shrubland	ENVO:00000300	scrubland
GOLD:146	Contaminated	ENVO:00002116	contaminated soil
GOLD:148	Woodland	ENVO:00000109	woodland
GOLD:149	Boreal forest	ENVO:01000250	subpolar coniferous forest biome
GOLD:15	Composting	ENVO:00002170	compost
GOLD:150	Oil-contaminated	ENVO:00002875	oil contaminated soil
GOLD:153	Hypolimnion	ENVO:00002130	hypolimnion
GOLD:154	Microbial mats	ENVO:01000008	microbial mat
GOLD:156	Sediment	ENVO:00002007	sediment
GOLD:159	Epilimnion	ENVO:00002131	epilimnion
GOLD:16	Landfill	ENVO:00000533	landfill
GOLD:160	Microbial mats	ENVO:01000008	microbial mat
GOLD:162	Sediment	ENVO:00002007	sediment
GOLD:163	Fumaroles	ENVO:00000216	fumarole
GOLD:166	Hypolimnion	ENVO:00002130	hypolimnion
GOLD:168	Sediment	ENVO:00002007	sediment
GOLD:170	Epilimnion	ENVO:00002131	epilimnion
GOLD:173	Desert	ENVO:00000097	desert
GOLD:174	Forest soil	ENVO:00002261	forest soil
GOLD:175	Grasslands	ENVO:00000106	grassland
GOLD:178	Agricultural land	ENVO:00000077	agricultural feature
GOLD:181	Shrubland	ENVO:00000107	heath
GOLD:181	Shrubland	ENVO:00000231	moor
GOLD:181	Shrubland	ENVO:00000300	scrubland
GOLD:183	Contaminated	ENVO:00002116	contaminated soil
GOLD:185	Woodland	ENVO:00000109	woodland
GOLD:186	Boreal forest	ENVO:01000250	subpolar coniferous forest biome
GOLD:187	Oil-contaminated	ENVO:00002875	oil contaminated soil
GOLD:188	Bioreactor	ENVO:00002123	bioreactor
GOLD:199	White smokers	ENVO:01000257	white smoker
GOLD:20	Thermal springs	ENVO:00000051	hot spring
GOLD:202	Sediment	ENVO:00002007	sediment
GOLD:203	Black smokers	ENVO:00000218	black smoker
GOLD:206	Bioreactor	ENVO:00002123	bioreactor
GOLD:208	Bioreactor	ENVO:00002123	bioreactor
GOLD:215	Whale fall	ENVO:01000140	whale fall
GOLD:224	Desert	ENVO:00000097	desert
GOLD:225	Forest soil	ENVO:00002261	forest soil
GOLD:226	Grasslands	ENVO:00000106	grassland
GOLD:228	Agricultural land	ENVO:00000077	agricultural feature
GOLD:23	Freshwater	ENVO:00002011	fresh water
GOLD:231	Shrubland	ENVO:00000107	heath
GOLD:231	Shrubland	ENVO:00000231	moor
GOLD:231	Shrubland	ENVO:00000300	scrubland
GOLD:234	Woodland	ENVO:00000109	woodland
GOLD:235	Boreal forest	ENVO:01000250	subpolar coniferous forest biome
GOLD:236	Oil-contaminated	ENVO:00002875	oil contaminated soil
GOLD:237	Bioreactor	ENVO:00002123	bioreactor
GOLD:238	Bioreactor	ENVO:00002123	bioreactor
GOLD:239	Activated sludge	ENVO:00002046	activated sludge
GOLD:24	Asphalt lakes	ENVO:00000165	asphalt lake
GOLD:240	Bioreactor	ENVO:00002123	bioreactor
GOLD:243	Microbial mats	ENVO:01000008	microbial mat
GOLD:245	Glacial lake	ENVO:00000488	glacial lake
GOLD:248	Glacier	ENVO:00000133	glacier
GOLD:249	Desert	ENVO:00000097	desert
GOLD:25	Oil reservoir	ENVO:00002185	oil reservoir
GOLD:250	Forest soil	ENVO:00002261	forest soil
GOLD:251	Grasslands	ENVO:00000106	grassland
GOLD:254	Agricultural land	ENVO:00000077	agricultural feature
GOLD:257	Shrubland	ENVO:00000107	heath
GOLD:257	Shrubland	ENVO:00000231	moor
GOLD:257	Shrubland	ENVO:00000300	scrubland
GOLD:259	Contaminated	ENVO:00002116	contaminated soil
GOLD:26	Volcanic	ENVO:00000247	volcano
GOLD:261	Woodland	ENVO:00000109	woodland
GOLD:262	Boreal forest	ENVO:01000250	subpolar coniferous forest biome
GOLD:263	Oil-contaminated	ENVO:00002875	oil contaminated soil
GOLD:264	Bioreactor	ENVO:00002123	bioreactor
GOLD:266	Activated sludge	ENVO:00002046	activated sludge
GOLD:270	Bioreactor	ENVO:00002123	bioreactor
GOLD:275	Sediment	ENVO:00002007	sediment
GOLD:276	Activated sludge	ENVO:00002046	activated sludge
GOLD:277	Activated sludge	ENVO:00002046	activated sludge
GOLD:278	Bioreactor	ENVO:00002123	bioreactor
GOLD:29	Soil	ENVO:00001998	soil
GOLD:291	Swamp	ENVO:00000233	swamp
GOLD:293	Marsh	ENVO:00000035	marsh
GOLD:294	Bog	ENVO:00000043	wetland
GOLD:294	Bog	ENVO:00000044	peatland
GOLD:295	Fen	ENVO:00000232	fen
GOLD:3	Environmental	ENVO:01000254	environmental system
GOLD:36	Fermented beverages	ENVO:0010005	fermented beverage
GOLD:37	Dairy products	ENVO:01000011	dairy product
GOLD:5	Food production	ENVO:00002002	food product
GOLD:58	Fossil	ENVO:00002164	fossil
GOLD:59	Cold seeps	ENVO:01000263	cold seep
GOLD:60	Oil seeps	ENVO:00002063	oil seep
GOLD:61	Volcanic	ENVO:00000247	volcano
GOLD:62	Hydrothermal vents	ENVO:00000215	hydrothermal vent
GOLD:63	Neritic zone	ENVO:00000206	neritic zone
GOLD:64	Oceanic	ENVO:00000015	ocean
GOLD:65	Intertidal zone	ENVO:00000316	intertidal zone
GOLD:66	Wetlands	ENVO:00000043	wetland
GOLD:67	Drinking water	ENVO:00003064	drinking water
GOLD:68	Ice	ENVO:01000277	ice
GOLD:7	Wastewater	ENVO:00002001	waste water
GOLD:70	Groundwater	ENVO:00002041	ground water
GOLD:72	Ponds	ENVO:00000033	pond
GOLD:75	Wetlands	ENVO:00000043	wetland
GOLD:95	Wastewater	ENVO:00002001	waste water
GOLD:96	Sand	ENVO:01000017	sand
GOLD:97	Sand	ENVO:01000017	sand
GOLD:98	Silt	ENVO:01000016	silt
GOLD:99	Clay	ENVO:00002982	clay
